question,answer_a,answer_b,answer_c,answer_correct,media,category
Are you allowed to drive onto the lane designated to vehicles driving in the opposite direction?,,,,Nie,0445D14MM_aorgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"Are you allowed in this place, directly in front of the pedestrian crossing to, change the lane?",,,,Nie,D10MM_3org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Does this horizontal triangular sign confirm the warning of an intersection with the main road?,,,,Tak,D10MM_10org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed in this situation to drive onto the adjacent right lane?,,,,Tak,D10MM_22org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Does this crosswise dashed line indicate the place for conditional stopping of the vehicle?,,,,Tak,D10MM_7org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed in this situation to make a U-turn using the lay-by on the left?,,,,Tak,013org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to overtake the articulated vehicle in this situation?,,,,Tak,048D15_a_org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You plan to turn left and the driver of the oncoming vehicle intends to follow the road ahead. Have you got priority over them?,,,,Nie,KW_D22_417_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to turn left. Are you obliged to yield the right-of-way to all vehicles at the junction?,,,,Tak,KW_D22_418_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You are intend to go straight on and the motorcyclist intends to turn left. Do you have to yield the right of way to him?,,,,Tak,KW_D22_419_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to go straight on and the driver of the oncoming vehicle intends to turn left. Do you have the right of way over him?,,,,Nie,KW_D22_419_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You have just been overtaken by the vehicle in front of you. Are you allowed to increase your speed immediately after being overtaken?,,,,Nie,D26_026org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you obliged to stop when the need be while passing the stationary obstacle?,,,,Tak,D24_AK110org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Do you have to exercise particular caution when passing a stationary object in this situation?,,,,Tak,D24_AK120org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Does this line indicate the place you must stop before entering the intersection?,,,,Tak,D16_01_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Does this line indicate the stop spot that ensures the best visibility at the intersection?,,,,Tak,D16_01_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you obliged to stop in the indicated place even when you have made sure that there are no other vehicles driving on the main road?,,,,Tak,D16_01_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"Are vehicles, which carry children to schools and pre-schools allowed to stop in the place marked by this bus stop line?",,,,Tak,"W4(23,54,80)org.wmv","D,D1"
Are you allowed in this situation to drive onto the lane by the right edge of the road?,,,,Tak,MM_D14_09_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a single dangerous bend to the right?,,,,Tak,IMG_0345d8org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a few dangerous bends to the left?,,,,Nie,1814D15org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of two dangerous bends?,,,,Nie,A-3 zT-4org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"Are you warned in this situation of two dangerous bends, the first to the left?",,,,Tak,A-4 (5)org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of an intersection where there are no right of way signs?,,,,Tak,A-5 (3)org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Should you begin braking your vehicle in this situation?,,,,Tak,D24_20org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"When driving a vehicle, does your ability to perceive road signs and signals improve with time?",,,,Nie,IMG_9599org.jpg,B
You are driving a vehicle at the speed of 30 km/h. Should you stop the vehicle before the traffic lights in this situation?,,,,Tak,AK_D18_07org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"When driving in a state of emotional arousal, does your ability to concentrate decrease?",,,,Tak,GND30__4_org.wmv,B
You intend to turn left. Do you have to yield the right of way to the vehicle approaching from the right?,,,,Nie,513_D27KW_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to go straight on. Do you have to yield the right of way to the vehicle approaching from the right?,,,,Tak,514_D27KW_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to go straight on. Do you have the right of way over the motorcyclist?,,,,Nie,KW_D22_419_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"Does the sign on this board inform you of a place on the road where there is, or there might be a danger?",,,,Tak,3436D15org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Do you have to exercise particular caution in the presented situation?,,,,Tak,D20_0061org.jpg,"A,B,C,D,A1,A2,B1,C1,D1"
"In the presented situation, are you warned of an intersection with a one-way minor road?",,,,Tak,A-6eorg.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"In the presented situation, you are warned of an intersection with a major road. Does the plate under the sign indicate its actual route?",,,,Tak,IMG_4003org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a level crossing with full barriers or half-barriers?,,,,Tak,0876D18org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a level crossing with full barriers or half-barriers?,,,,Nie,A-10 (2)org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a level crossing with half-barriers?,,,,Nie,1070D18org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a transverse unevenness of the roadway?,,,,Tak,IMG_9274d8org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a 1.2 km-long rough roadway beyond this sign?,,,,Tak,IMG_9528d8org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a hump on the road intended to slow down the traffic?,,,,Nie,IMG_9274d8org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of hump on the roadway intended to slow down the traffic?,,,,Tak,IMG_8384org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Does the board placed under this warning sign indicate the sign's distance from a dangerous spot?,,,,Tak,IMG_8384org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of road narrowing which may cause impediments to the traffic?,,,,Tak,IMG_0816d8org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a junction with the road on the right?,,,,Nie,IMG_6630d8org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Do you need to be prepared for impediments to traffic in this situation?,,,,Tak,IMG_7184_1org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a pedestrian crossing marked on the road?,,,,Tak,843D15org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a place on the road frequently attended by children or of proximity of such a place?,,,,Tak,A-17 (2)org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a possible encounter with farm animals on the road?,,,,Tak,IMG_1101d8org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a possible encounter with wild animals on the road?,,,,Tak,JAZDA NOCĄorg.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a place where two-way traffic begins?,,,,Tak,1498D15org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a steep uphill road?,,,,Nie,0805D14MMorg.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a place where cyclists emerge onto the road or cross it?,,,,Tak,0989D18org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a road covered with gravel which may be discarded from under the wheels of moving vehicles?,,,,Tak,IMG_9333d8org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a place where the traffic is directed by traffic lights?,,,,Tak,IMG_9157d8org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"In the presented situation, when pulling over, should you do it carefully and slow down significantly if the need be?",,,,Tak,IMG_1387d8org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Will you be warned beyond this sign of every single bend on the road?,,,,Nie,IMG_7630d8org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"In this situation, do the red reflective point elements define the right edge of the roadway?",,,,Tak,IMG_9751org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"In the presented situation, is there a lane behind the line composed of red reflective road studs?",,,,Nie,IMG_9757aorg.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"In the presented situation, is there a hard shoulder directly behind the line on the right, composed of white reflective road studs?",,,,Nie,IMG_9746org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"In the presented situation, do the white reflective road studs placed on the right side of the road inform you of the edge of the roadway?",,,,Nie,IMG_9746org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you obliged to maintain a distance of at least 1 metre from the overtaken cyclist in this situation?,,,,Tak,D17PWCz_1org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to overtake vehicles on other lanes at a junction marked in such a way?,,,,Tak,D29WCzorg.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Can you overtake in this situation?,,,,Nie,D38WCz_2org.wmv,B
"In the presented situation, is the prohibition expressed by this sign binding from the place of its erection?",,,,Tak,526D21org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Does the plate under this prohibition sign indicate the length of the road section where the prohibition is binding?,,,,Tak,1005D15org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you obliged in this situation to yield the right of way to the vehicle approaching from the left?,,,,Tak,511_D27KW_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to continue going straight on. Do you have the right of way over the vehicle approaching from the right?,,,,Nie,518_D27KW_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"In this situation, do you have to yield the right of way to the vehicle approaching from the left?",,,,Tak,KW_D16_354org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"In this situation, do you have priority over the vehicle driving from the left into the traffic lane?",,,,Nie,KW_D16_355org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to turn right. Do you have to yield the right of way to the vehicle approaching from the left?,,,,Nie,KW_D16_352org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to turn left. Do you have to yield the right of way to the cyclist?,,,,Tak,KW_D16_253org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to continue driving straight on. In this situation do you have the right of way over the vehicle approaching from the right?,,,,Tak,KW_D16_357org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Should you resign from overtaking in this situation?,,,,Tak,D26_395org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you obliged in this situation to slow down in the built-up area to allow the bus driver to join the traffic?,,,,Tak,705.D34KWorg.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You are turning left at the nearest junction. Do you have the right of way over the approaching vehicle?,,,,Nie,706.D34KWorg.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You are driving a public transport bus in the built-up area. Should you make sure that emerging from the lay-by will not pose a threat to road safety?,,,,Tak,717.D35KWorg.wmv,"D,D1"
You are driving a public transport bus outside the built-up area. Do you have priority in this situation when joining the traffic from the bus stop?,,,,Nie,717.D35KWorg.wmv,"D,D1"
You intend to go straight ahead. Are you joining the traffic in this situation?,,,,Tak,D42_8org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Have you got priority over the vehicle approaching from the left?,,,,Nie,537.D28KW_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Does the behaviour of the pedestrian require you to use the horn?,,,,Nie,538.D28KW_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to turn left. Do you have the right of way over the vehicle approaching from the right in this situation?,,,,Nie,540.D28KW_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
A rail vehicle is emerging onto the road from a terminus. Are you obliged to yield the right of way?,,,,Nie,544.D28KW_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to drive straight ahead and the tram driver intends to turn left. Have you got priority over him?,,,,Nie,546.D28KW_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to turn left. Are you obliged to yield the right of way to the vehicle approaching from the right?,,,,Tak,607.D29org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You are driving a vehicle in the built-up area. Is it prohibited in the presented situation to use the horn?,,,,Nie,610.D29GMorg.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"You intend to continue driving straight on. Do you have the right of way over a rail vehicle turning right, into the depot?",,,,Nie,614.D29GMorg.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to drive into a hardened road by turning right. Do you have the right of way over the vehicle approaching from the left?,,,,Nie,627.D33_2org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to go straight ahead. Are you obliged to yield the right of way to the vehicle approaching from the left?,,,,Tak,774. RONDO_12org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to turn left. Do you have the right of way before the rail vehicle approaching from the opposite direction?,,,,Nie,635.D33_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to turn right. Are you obliged to yield the right of way to the vehicle approaching form the left?,,,,Tak,636.D33org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to go straight ahead. Are you obliged to yield the right of way to the vehicle approaching from the right?,,,,Nie,638.D33org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Have you got priority over the vehicle making a U-turn in this situation?,,,,Nie,640.D33org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Have you got priority in this situation before the vehicle going ahead across the junction?,,,,Nie,641.D33org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You are outside a built-up area. Are you allowed in this situation to overtake the preceding vehicle from the right?,,,,Tak,D26_144org.jpg,"A,B,C,D,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a snowfall?,,,,Nie,IMG_6220d8org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of frequent occurrence of traffic jams?,,,,Tak,A-33 (5)org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
When riding a motorcycle you participate in a road accident in with a person got injured. Do you need to abide by the prohibition to remove the vehicle from the scene of the accident?,,,,Tak,img_4604zz.jpg,"A,A1,A2"
Should you move the damaged motorcycle onto the hard shoulder in this situation?,,,,Tak,0590D14MM_motocyklorgbm.jpg,"A,A1,A2"
Should you move the motorcycle which broke down onto the hard shoulder in this situation?,,,,Tak,0357D14MM_motocyklorgbm.jpg,"A,A1,A2"
"Are you obliged to move the motorcycle which got damaged in this place, to the emergency lane?",,,,Tak,1444D15_Amotocyklorgbm.jpg,"A,A1,A2"
"Are you obliged to move the motorcycle which got damaged in this place, to the emergency lane?",,,,Tak,410D15_motocyklorgbm.jpg,"A,A1,A2"
Are you obliged in this situation to signal parking of the damaged agricultural tractor?,,,,Tak,1001D14_traktor_z2orgbm.jpg,T
"In this situation, does the light displayed allow you to drive beyond the traffic light post if you do not cause impediments to traffic for oncoming vehicles?",,,,Nie,0566D18_aorgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you obliged in this situation to use the low beam lights or daytime running lights?,,,,Tak,B.1.6.3.Bzdorg.wmv,B
Are you allowed to drive with the daytime running lights on in decreased air clarity?,,,,Nie,B.1.6.7.Bzorg.wmv,B
Are you obliged in this situation to yield the right of way to the vehicle approaching from the right?,,,,Tak,D42_19org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to go straight ahead. Are you obliged to yield the right of way to the vehicle approaching from the right?,,,,Tak,D42_2org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You are joining the traffic after picking up a passenger. Do you have priority over the oncoming vehicle turning left into the parking space?,,,,Nie,D42_5org.wmv,"A,B,C,D,AM,A1,A2,B1,C1,D1"
You start driving. Are you obliged in this situation to yield the right of way to the vehicle visible in the mirror?,,,,Tak,D42_16org.wmv,B
Are you obliged in this situation to yield the right of way to the vehicle visible in the mirror?,,,,Tak,D42_12org.wmv,B
"Does the sign placed on the right roadway mean ""no traffic"" in both directions?",,,,Tak,D20_0079org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to drive into the car wash through this road?,,,,Nie,IMG_0004borg.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to turn right in this situation?,,,,Nie,IMG_0486d5org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed in this situation to continue overtaking?,,,,Tak,WC_D17_25org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed in this situation to overtake the vehicle?,,,,Tak,W12(14)org.wmv,"A,AM,A1,A2,B1"
Are you allowed in this situation to overtake the vehicle from the right?,,,,Nie,WC_D17_30_org_2.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed in this situation to overtake the vehicle?,,,,Nie,WC_D17_33org.wmv,"A,B,C,D,AM,A1,A2,B1,C1,D1"
"Are you allowed in this situation, in the built-up area, to overtake the vehicle from the right?",,,,Tak,WC_D17_36org.wmv,"A,B,C,D,AM,A1,A2,B1,C1,D1"
Are you allowed in this situation to overtake the vehicle?,,,,Tak,WC_D17_38org.wmv,"A,B,C,D,AM,A1,A2,B1,C1,D1"
Should you refrain from overtaking the vehicle in this situation?,,,,Tak,WC_D17_09org.wmv,"B,C,D,C1,D1"
Are you allowed in this situation to continue overtaking?,,,,Tak,WC_D17_15_org_2.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed in this situation to overtake the vehicle?,,,,Nie,WC_D17_23_org_2.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you approaching a major road in the presented situation?,,,,Tak,IMG_1229d6org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you obliged to stop at this sign in the presented situation?,,,,Nie,D20_0181org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to turn left in this situation?,,,,Nie,IMG_1645d6org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to make a U-turn at this intersection?,,,,Nie,IMG_1701d6org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Does this sign placed in the area of an intersection refer only to the roadway by which it has been placed?,,,,Tak,IMG_4362org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Is it allowed in this situation to pull over?,,,,Nie,IMG_1451orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to wait  at the nearest junction for the possibility of making a U-turn within the lane dividing the roadways?,,,,Tak,1.5.1.-3 IMG_0720orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you taking the proper lane in this situation?,,,,Nie,MD_D6_03_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Will you be able in this situation to turn left properly from the right lane you are taking?,,,,Nie,IMG_1707d8orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"If you intend to turn right in this situation, should you continue further on the lane you are occupying and change it immediately before the junction?",,,,Nie,IMG_6706_1orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"If in this situation you intend to go to Gdańsk, should you change the lane to the left one?",,,,Nie,IMG_9314orgbm.jpg,"A,B,C,D,A1,A2,C1,D1"
"In this situation, can you go straight on to any lane if there are no other vehicles in the tunnel?",,,,Nie,IMG_028d9orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Is it allowable to stop the vehicle 11 metres beyond this road sign?,,,,Nie,IMG_8614orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Is it allowed in this situation to stop the vehicle on the lane between the roadways?,,,,Nie,IMG_9870orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to park the vehicle in the presented lay-by?,,,,Nie,IMG_3136aorgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed in this situation to park the vehicle on the hard shoulder?,,,,Nie,IMG_1451orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed in this situation to stop your vehicle on the hard shoulder immediately behind this sign if it does not impede the movement of other vehicles?,,,,Nie,IMG_0296d8org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to change into the left lane. Do you have the right of way over the vehicles driving in this lane?,,,,Nie,2845D15orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to turn left from the lane you are taking?,,,,Nie,IMG_3170orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to make a U-turn from the lane you are taking?,,,,Nie,IMG_7233orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to make a U-turn from the lane you are taking?,,,,Nie,IMG_9975orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed in this situation to continue overtaking from the right on the motorway?,,,,Tak,D26_286org.jpg,"A,B,C,D,A1,A2,C1,D1"
Is overtaking forbidden in this situation?,,,,Tak,D26_488org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You are in the middle of overtaking. May you cause an accident in this situation?,,,,Tak,D26_501org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to make a U-turn on the road marked in such a way?,,,,Nie,IMG_7683d8orgbm.jpg,"A,B,C,D,A1,A2,C1,D1"
Are you allowed to make a U-turn on this section of the road?,,,,Nie,0589orgbm.jpg,"A,B,C,D,A1,A2,C1,D1"
Are you allowed to make a U-turn on the bridge?,,,,Nie,2934D15orgbm.jpg,"A,B,AM,A1,A2,B1"
Are you allowed in this situation to change the traffic lane  and turn right?,,,,Nie,IMG_6729_1orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to drive into the left lane. Do you have the right of way over the vehicles driving in it?,,,,Nie,IMG_6737_1org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to drive into the right lane of the roadway. Are you obliged to use an indicator?,,,,Tak,IMG_7431_1orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
When driving by the right edge of the roadway in this situation should you signal the intention to change the lane?,,,,Tak,IMG_7431aorgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to change the lane. Are you obliged to use an indicator?,,,,Tak,IMG_8826orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
When entering the adjoining lane in this situation do you have the right of way?,,,,Nie,IMG_9335orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
